platformQid,name,isMajor,platformType,generation,releaseYear,expectedCount,wdqsCount,wikiRosterCount,overlapCount,wdqsOnly,wikiOnly,gamesRosterFetchedCount,gamesRosterDone,gamesCursorQid,gamesCursorUpdatedAt,gamesIngestedAt,lastEnrichedAt
Q13361286,Xbox One,true,HOME_CONSOLE,,2013,4026,3684,0,0,3684,0,0,false,Q99992123,2026-02-25T20:40:57.303Z,2026-02-25T20:40:57.303Z,2026-02-26T01:45:49.392Z
Q10683,PlayStation 3,true,HOME_CONSOLE,,2006,2174,3183,0,0,3183,0,0,false,Q99913533,2026-02-25T20:40:53.957Z,2026-02-25T20:40:53.957Z,2026-02-26T01:45:49.391Z
Q48263,Xbox 360,true,HOME_CONSOLE,,2005,1979,1801,4,4,1797,0,0,false,Q99913542,2026-02-25T20:40:52.851Z,2026-02-25T20:40:52.851Z,2026-02-26T01:45:49.390Z
Q170325,PlayStation Portable,true,HANDHELD,,2004,1284,1502,0,0,1502,0,0,false,,,,2026-02-26T01:47:38.236Z
Q8079,Wii,true,HOME_CONSOLE,,2006,1472,1441,0,0,1441,0,0,false,Q99743337,2026-02-25T20:40:51.740Z,2026-02-25T20:40:51.740Z,2026-02-26T01:45:49.391Z
Q10680,PlayStation 2,true,HOME_CONSOLE,,2000,3200,1437,1502,123,1314,1379,0,false,,,,2026-02-26T01:46:32.215Z
Q172742,Nintendo Entertainment System,true,HOME_CONSOLE,,1983,1216,1367,1367,1367,0,0,0,false,,,,2026-02-26T01:47:38.237Z
Q132020,Xbox,true,HOME_CONSOLE,,2001,1052,1021,1248,849,172,399,0,false,Q99913976,2026-02-25T20:40:58.733Z,2026-02-25T20:40:58.733Z,2026-02-26T01:45:49.392Z
Q94,Android,true,MOBILE,,,4558,0,0,0,0,0,0,false,,,,2026-02-26T01:48:00.544Z
Q355,Facebook,true,MOBILE,,,34,0,0,0,0,0,0,false,,,,2026-02-26T01:47:50.117Z
Q48493,iOS,true,MOBILE,,2007,5893,0,0,0,0,0,0,false,,,,2026-02-26T01:47:50.123Z
Q388,Linux,true,COMPUTER,,,18438,0,0,0,0,0,0,false,,,,2026-02-26T01:47:50.118Z
Q75687,Mac,true,COMPUTER,,1984,136,0,0,0,0,0,0,false,,,,2026-02-26T01:48:00.541Z
Q14116,macOS,true,COMPUTER,,2001,25045,0,0,0,0,0,0,false,,,,2026-02-26T01:47:38.233Z
Q1406,Microsoft Windows,true,COMPUTER,,1985,138163,0,0,0,0,0,0,false,,,,2026-02-26T01:47:38.232Z
Q17517,mobile phone,true,HANDHELD,,,121,0,0,0,0,0,0,false,,,,2026-02-26T01:47:38.237Z
Q47604,MS-DOS,true,COMPUTER,,1981,290,0,0,0,0,0,0,false,,,,2026-02-26T01:47:50.119Z
Q19610114,Nintendo Switch,true,HYBRID,,2017,7036,0,0,0,0,0,0,false,,,,2026-02-26T01:47:38.245Z
Q16338,personal computer,true,COMPUTER,,,324,0,0,0,0,0,0,false,,,,2026-02-26T01:47:38.234Z
Q10677,PlayStation,true,HOME_CONSOLE,,1994,2093,0,1201,0,0,1201,0,false,,,,2026-02-26T01:46:32.215Z
Q5014725,PlayStation 4,true,HOME_CONSOLE,,2013,6107,0,0,0,0,0,0,false,,,,2026-02-26T01:47:50.124Z
Q63184502,PlayStation 5,true,HOME_CONSOLE,,2020,2983,0,0,0,0,0,0,false,,,,2026-02-26T01:47:50.126Z
Q483318,Symbian,true,MOBILE,,,20,0,0,0,0,0,0,false,,,,2026-02-26T01:47:50.120Z
Q6368,web browser,true,OTHER,,,1029,0,0,0,0,0,0,false,,,,2026-02-26T01:47:50.126Z
Q4885200,Windows Phone,true,MOBILE,,2010,164,0,0,0,0,0,0,false,,,,2026-02-26T01:47:50.123Z
Q98973368,Xbox Series X and Series S,false,HOME_CONSOLE,,2020,3491,3263,0,0,3263,0,0,false,Q99990957,2026-02-25T20:41:02.386Z,2026-02-25T20:41:02.386Z,2026-02-26T01:45:49.393Z
Q751046,IBM PC compatible,false,COMPUTER,,,64,1248,0,0,1248,0,0,false,,,,2026-02-26T01:47:56.601Z
Q188808,PlayStation Vita,false,HANDHELD,,2011,969,870,0,0,870,0,0,false,,,,2026-02-26T01:47:38.243Z
Q56942,Wii U,false,HOME_CONSOLE,,2012,867,856,0,0,856,0,0,false,Q98915523,2026-02-25T20:41:00.035Z,2026-02-25T20:41:00.035Z,2026-02-26T01:45:49.393Z
Q184839,Nintendo 64,false,HOME_CONSOLE,,1996,423,534,534,534,0,0,0,false,,,,2026-02-26T01:47:38.240Z
Q1047516,Sega CD,false,HOME_CONSOLE,,1991,169,168,0,0,168,0,0,false,Q96033352,2026-02-25T20:41:05.288Z,2026-02-25T20:41:05.288Z,2026-02-26T01:45:49.396Z
Q229429,3DO,false,HOME_CONSOLE,,1993,159,158,0,0,158,0,0,false,Q975529,2026-02-25T20:41:03.307Z,2026-02-25T20:41:03.307Z,2026-02-26T01:45:49.394Z
Q1046862,ColecoVision,false,HOME_CONSOLE,,1982,130,130,0,0,130,0,0,false,Q917503,2026-02-25T20:41:03.997Z,2026-02-25T20:41:03.997Z,2026-02-26T01:45:49.395Z
Q695161,Amiga CD32,false,HOME_CONSOLE,,1993,78,78,0,0,78,0,0,false,Q979571,2026-02-25T20:41:03.788Z,2026-02-25T20:41:03.788Z,2026-02-26T01:45:49.395Z
Q743222,Atari 5200,false,HOME_CONSOLE,,1982,68,68,0,0,68,0,0,false,Q917503,2026-02-25T20:41:02.997Z,2026-02-25T20:41:02.997Z,2026-02-26T01:45:49.394Z
Q650601,Atari Jaguar,false,HOME_CONSOLE,,1993,58,53,0,0,53,0,0,false,Q972320,2026-02-25T20:41:02.705Z,2026-02-25T20:41:02.705Z,2026-02-26T01:45:49.394Z
Q753657,Atari Lynx,false,HANDHELD,,1989,52,51,0,0,51,0,0,false,Q98067407,2026-02-25T20:41:03.495Z,2026-02-25T20:41:03.495Z,2026-02-26T01:45:49.394Z
Q1063978,Sega 32X,false,HOME_CONSOLE,,1994,32,40,0,0,40,0,0,false,Q880945,2026-02-25T20:41:05.826Z,2026-02-25T20:41:05.826Z,2026-02-26T01:45:49.396Z
Q1136902,PC-FX,false,HOME_CONSOLE,,1994,26,26,0,0,26,0,0,false,Q745804,2026-02-25T20:41:06.636Z,2026-02-25T20:41:06.636Z,2026-02-26T01:45:49.397Z
Q576932,Magnavox Odyssey 2,false,HOME_CONSOLE,,1978,25,25,0,0,25,0,0,false,Q96240028,2026-02-25T20:41:06.774Z,2026-02-25T20:41:06.774Z,2026-02-26T01:45:49.397Z
Q955368,CDTV,false,COMPUTER,,1991,21,21,0,0,21,0,0,false,Q864177,2026-02-25T20:41:06.317Z,2026-02-25T20:41:06.317Z,2026-02-26T01:45:49.397Z
Q981935,Amstrad GX4000,false,HOME_CONSOLE,,1990,,6,0,0,6,0,0,false,Q77663889,2026-02-25T20:41:07.284Z,2026-02-25T20:41:07.284Z,2026-02-26T01:45:49.397Z
Q15015195,Apple Pippin,false,HOME_CONSOLE,,,,6,0,0,6,0,0,false,Q795399,2026-02-25T20:41:05.480Z,2026-02-25T20:41:05.480Z,2026-02-26T01:45:49.396Z
Q41168744,Atari VCS,false,HOME_CONSOLE,,2021,,4,0,0,4,0,0,false,,,,2026-02-26T01:45:49.399Z
Q285025,iQue Player,false,HOME_CONSOLE,,2003,,4,0,0,4,0,0,false,Q213911,2026-02-25T20:41:07.637Z,2026-02-25T20:41:07.637Z,2026-02-26T01:45:49.397Z
Q1190117,Super Game Boy,false,HOME_CONSOLE,,,,3,0,0,3,0,0,false,Q2825397,2026-02-25T20:41:07.071Z,2026-02-25T20:41:07.071Z,2026-02-26T01:45:49.397Z
Q137982318,Q137982318,false,HOME_CONSOLE,,,,2,0,0,2,0,0,false,,,,2026-02-26T01:47:38.230Z
Q379965,Entex Adventure Vision,false,HOME_CONSOLE,,1982,,1,0,0,1,0,0,false,,,,2026-02-26T01:45:49.398Z
Q733136,Mega Duck,false,HANDHELD,,1993,,1,0,0,1,0,0,false,,,,2026-02-26T01:45:55.581Z
Q1977455,Neo Geo Pocket Color,false,HANDHELD,,1999,33,1,0,0,1,0,0,false,,,,2026-02-26T01:45:49.398Z
Q7820426,Tomy Tutor,false,COMPUTER,,1982,,1,0,0,1,0,0,false,,,,2026-02-26T01:45:49.401Z
Q762020,Xperia Play,false,HANDHELD,,2011,,1,0,0,1,0,0,false,Q286205,2026-02-25T20:41:07.853Z,2026-02-25T20:41:07.853Z,2026-02-26T01:45:49.397Z
Q67723074,101,false,HOME_CONSOLE,,1977,,0,0,0,0,0,0,false,,,,2026-02-26T01:47:56.598Z
Q67723516,105,false,HOME_CONSOLE,,1977,,0,0,0,0,0,0,false,,,,2026-02-26T01:47:56.599Z
Q71390004,108,false,HOME_CONSOLE,,1978,,0,0,0,0,0,0,false,,,,2026-02-26T01:47:56.600Z
Q69997750,10 Sports Tele,false,HOME_CONSOLE,,1978,,0,0,0,0,0,0,false,,,,2026-02-26T01:47:56.599Z
Q2037599,1292 Advanced Programmable Video System,false,HOME_CONSOLE,,1978,,0,0,0,0,0,0,false,,,,2026-02-26T01:45:55.581Z
Q209030,1chipMSX,false,COMPUTER,,2006,,0,0,0,0,0,0,false,,,,2026-02-26T01:45:55.581Z
Q74161577,2000 T.V. Game,false,HOME_CONSOLE,,1978,,0,0,0,0,0,0,false,,,,2026-02-26T01:47:56.600Z
Q67725392,201,false,HOME_CONSOLE,,1977,,0,0,0,0,0,0,false,,,,2026-02-26T01:47:56.599Z
Q66809760,304,false,HOME_CONSOLE,,1977,,0,0,0,0,0,0,false,,,,2026-02-26T01:47:56.597Z
Q67011401,304 Video Game,false,HOME_CONSOLE,,1977,,0,0,0,0,0,0,false,,,,2026-02-26T01:47:56.597Z
Q114568853,32blit,false,HANDHELD,,,,0,0,0,0,0,0,false,,,,2026-02-26T01:46:25.720Z
Q70877303,406-6 Color TV Sports Video Game,false,HOME_CONSOLE,,1977,,0,0,0,0,0,0,false,,,,2026-02-26T01:47:56.599Z
Q70881969,41N,false,HOME_CONSOLE,,1977,,0,0,0,0,0,0,false,,,,2026-02-26T01:47:56.599Z
Q70882845,4200n,false,HOME_CONSOLE,,1977,,0,0,0,0,0,0,false,,,,2026-02-26T01:47:56.600Z
Q67206378,4711 Most Exciting Tank Battle,false,HOME_CONSOLE,,1977,,0,0,0,0,0,0,false,,,,2026-02-26T01:47:56.598Z
Q66811875,4A-8 (9015),false,HOME_CONSOLE,,1978,,0,0,0,0,0,0,false,,,,2026-02-26T01:46:32.211Z
Q67015338,4A Video Game,false,HOME_CONSOLE,,1977,,0,0,0,0,0,0,false,,,,2026-02-26T01:47:56.597Z
Q69997539,4 Sports Tele,false,HOME_CONSOLE,,1978,,0,0,0,0,0,0,false,,,,2026-02-26T01:47:56.599Z
Q70090737,5 Jeux - 2002,false,HOME_CONSOLE,,1977,,0,0,0,0,0,0,false,,,,2026-02-26T01:47:56.599Z
Q12760765,677,false,HOME_CONSOLE,,1978,,0,0,0,0,0,0,false,,,,2026-02-26T01:46:01.149Z
Q67016114,6 (96),false,HOME_CONSOLE,,1977,,0,0,0,0,0,0,false,,,,2026-02-26T01:47:56.598Z
Q70882963,6IN,false,HOME_CONSOLE,,1978,,0,0,0,0,0,0,false,,,,2026-02-26T01:47:56.600Z
Q74153057,7000 Color,false,HOME_CONSOLE,,1978,,0,0,0,0,0,0,false,,,,2026-02-26T01:47:56.600Z
Q69742376,7640,false,HOME_CONSOLE,,1976,,0,0,0,0,0,0,false,,,,2026-02-26T01:47:56.599Z
Q66817363,7771-G,false,HOME_CONSOLE,,1977,,0,0,0,0,0,0,false,,,,2026-02-26T01:47:56.597Z
Q66817268,7771-P,false,HOME_CONSOLE,,1977,,0,0,0,0,0,0,false,,,,2026-02-26T01:46:32.211Z
Q73875814,7N TV game,false,HOME_CONSOLE,,1977,,0,0,0,0,0,0,false,,,,2026-02-26T01:47:56.600Z
Q66817374,888,false,HOME_CONSOLE,,1977,,0,0,0,0,0,0,false,,,,2026-02-26T01:47:56.597Z
Q67073994,8 Electronic TV Game (MT-1A8),false,HOME_CONSOLE,,1977,,0,0,0,0,0,0,false,,,,2026-02-26T01:47:56.598Z
Q69997621,8 Sports Tele,false,HOME_CONSOLE,,1978,,0,0,0,0,0,0,false,,,,2026-02-26T01:47:56.599Z
Q67198804,9008,false,HOME_CONSOLE,,1977,,0,0,0,0,0,0,false,,,,2026-02-26T01:47:56.598Z
Q67197342,9009 Video game,false,HOME_CONSOLE,,1977,,0,0,0,0,0,0,false,,,,2026-02-26T01:47:56.598Z
Q72812708,9012  Color TV sports,false,HOME_CONSOLE,,1977,,0,0,0,0,0,0,false,,,,2026-02-26T01:47:56.600Z
Q67197317,9012 Color video game,false,HOME_CONSOLE,,1977,,0,0,0,0,0,0,false,,,,2026-02-26T01:47:56.598Z
Q67077339,9012 Color Video Game,false,HOME_CONSOLE,,1977,,0,0,0,0,0,0,false,,,,2026-02-26T01:47:56.598Z
Q67198814,9014 Panzerschlacht,false,HOME_CONSOLE,,1977,,0,0,0,0,0,0,false,,,,2026-02-26T01:47:56.598Z
Q67206610,9015,false,HOME_CONSOLE,,1978,,0,0,0,0,0,0,false,,,,2026-02-26T01:47:56.598Z
Q67198829,9015,false,HOME_CONSOLE,,1977,,0,0,0,0,0,0,false,,,,2026-02-26T01:47:56.598Z
Q67077158,9015 Color-Cassetten,false,HOME_CONSOLE,,1977,,0,0,0,0,0,0,false,,,,2026-02-26T01:47:56.598Z
Q67198857,9016 Telespiel Computer,false,COMPUTER,,1978,,0,0,0,0,0,0,false,,,,2026-02-26T01:47:56.598Z
Q66085305,9017 Colour TV Game,false,HOME_CONSOLE,,,,0,0,0,0,0,0,false,,,,2026-02-26T01:47:56.597Z
Q41357,Acorn Archimedes,false,COMPUTER,,,79,0,0,0,0,0,0,false,,,,2026-02-26T01:47:50.119Z
Q342163,Acorn Electron,false,COMPUTER,,1983,74,0,0,0,0,0,0,false,,,,2026-02-26T01:47:50.116Z
Q4677106,Action Gamemaster,false,HANDHELD,,,,0,0,0,0,0,0,false,,,,2026-02-26T01:46:01.150Z
Q343682,Action Max,false,HOME_CONSOLE,,1987,,0,0,0,0,0,0,false,,,,2026-02-26T01:45:49.401Z
Q114755553,Activision Family Game,false,HOME_CONSOLE,,,,0,0,0,0,0,0,false,,,,2026-02-26T01:46:57.263Z
Q114833800,Adafruit PyGamer,false,HANDHELD,,2019,,0,0,0,0,0,0,false,,,,2026-02-26T01:46:25.722Z
Q71129179,Adman Sportsvision TV Game Model 1000,false,HOME_CONSOLE,,1977,,0,0,0,0,0,0,false,,,,2026-02-26T01:47:56.600Z
Q65964680,Adman TVG-2600 MK II,false,HOME_CONSOLE,,1977,,0,0,0,0,0,0,false,,,,2026-02-26T01:47:56.597Z
Q165658,Adobe Flash,false,OTHER,,,100,0,0,0,0,0,0,false,,,,2026-02-26T01:47:38.234Z
Q4686254,Advanced Pico Beena,false,HOME_CONSOLE,,2005,,0,0,0,0,0,0,false,,,,2026-02-26T01:46:01.146Z
Q67201151,Adversary 370,false,HOME_CONSOLE,,1976,,0,0,0,0,0,0,false,,,,2026-02-26T01:47:56.598Z
Q74071095,Ags TVG 101-4,false,HOME_CONSOLE,,1977,,0,0,0,0,0,0,false,,,,2026-02-26T01:47:56.600Z
Q4032935,ALF TV Game,false,HOME_CONSOLE,,1991,,0,0,0,0,0,0,false,,,,2026-02-26T01:45:55.584Z
Q67080840,All Star (VMV9),false,HOME_CONSOLE,,1978,,0,0,0,0,0,0,false,,,,2026-02-26T01:47:56.598Z
Q3979806,Ameprod Television Game 10,false,HOME_CONSOLE,,1978,,0,0,0,0,0,0,false,,,,2026-02-26T01:45:55.581Z
Q471094,Amiga 1200,false,COMPUTER,,1992,72,0,0,0,0,0,0,false,,,,2026-02-26T01:47:50.119Z
Q114810730,Amiga A500 Mini,false,HOME_CONSOLE,,2022,,0,0,0,0,0,0,false,,,,2026-02-26T01:46:25.721Z
Q380526,AmigaOS,false,COMPUTER,,,21,0,0,0,0,0,0,false,,,,2026-02-26T01:47:50.118Z
Q478829,Amstrad CPC,false,COMPUTER,,1984,1349,0,0,0,0,0,0,false,,,,2026-02-26T01:47:50.119Z
Q4748871,Amstrad Mega PC,false,HYBRID,,1993,,0,0,0,0,0,0,false,,,,2026-02-26T01:45:55.583Z
Q478833,Amstrad PCW,false,COMPUTER,,,45,0,0,0,0,0,0,false,,,,2026-02-26T01:47:50.120Z
Q123230144,Analogue 3D,false,HOME_CONSOLE,,,,0,0,0,0,0,0,false,,,,2026-02-26T01:46:01.144Z
Q114834045,Analogue CMVS,false,HOME_CONSOLE,,2011,,0,0,0,0,0,0,false,,,,2026-02-26T01:46:25.722Z
Q115162661,Analogue Duo,false,HOME_CONSOLE,,2021,,0,0,0,0,0,0,false,,,,2026-02-26T01:46:25.723Z
Q60749019,Analogue Mega Sg,false,HOME_CONSOLE,,2019,,0,0,0,0,0,0,false,,,,2026-02-26T01:45:55.584Z
Q28153936,Analogue NT,false,HOME_CONSOLE,,2015,,0,0,0,0,0,0,false,,,,2026-02-26T01:46:01.145Z
Q29578322,Analogue Nt mini,false,HOME_CONSOLE,,2017,,0,0,0,0,0,0,false,,,,2026-02-26T01:46:01.145Z
Q85741461,Analogue Pocket,false,HANDHELD,,2021,,0,0,0,0,0,0,false,,,,2026-02-26T01:45:55.583Z
Q48965915,Analogue Super Nt,false,HOME_CONSOLE,,2018,,0,0,0,0,0,0,false,,,,2026-02-26T01:46:01.146Z
Q114569047,Anbernic K101 Plus,false,HANDHELD,,,,0,0,0,0,0,0,false,,,,2026-02-26T01:46:57.262Z
Q114569066,Anbernic RETRO ARCADE FC/MINI,false,HANDHELD,,,,0,0,0,0,0,0,false,,,,2026-02-26T01:46:57.262Z
Q114568922,Anbernic RG280M,false,HANDHELD,,,,0,0,0,0,0,0,false,,,,2026-02-26T01:46:57.262Z
Q114569108,Anbernic RG280V,false,HANDHELD,,2020,,0,0,0,0,0,0,false,,,,2026-02-26T01:46:57.262Z
Q114569082,Anbernic RG300X,false,HANDHELD,,,,0,0,0,0,0,0,false,,,,2026-02-26T01:46:57.262Z
Q114569020,Anbernic RG350,false,HANDHELD,,,,0,0,0,0,0,0,false,,,,2026-02-26T01:46:57.262Z
Q114568927,Anbernic RG350M,false,HANDHELD,,2021,,0,0,0,0,0,0,false,,,,2026-02-26T01:46:57.262Z
Q113471742,Anbernic RG351P,false,HANDHELD,,2020,,0,0,0,0,0,0,false,,,,2026-02-26T01:46:57.260Z
Q114568939,Anbernic RG351V,false,HANDHELD,,2021,,0,0,0,0,0,0,false,,,,2026-02-26T01:46:57.262Z
Q113471658,Anbernic RG353P,false,HANDHELD,,,,0,0,0,0,0,0,false,,,,2026-02-26T01:46:57.260Z
Q119788863,Anbernic RG353PS,false,HANDHELD,,,,0,0,0,0,0,0,false,,,,2026-02-26T01:47:08.303Z
Q114568963,Anbernic RG353V,false,HANDHELD,,2022,,0,0,0,0,0,0,false,,,,2026-02-26T01:46:57.262Z
Q114568967,Anbernic RG353VS,false,HANDHELD,,2022,,0,0,0,0,0,0,false,,,,2026-02-26T01:46:57.262Z
Q115677203,Anbernic RG35XX,false,HANDHELD,,2022,,0,0,0,0,0,0,false,,,,2026-02-26T01:46:25.723Z
Q124004757,Anbernic RG35XX H,false,HANDHELD,,,,0,0,0,0,0,0,false,,,,2026-02-26T01:47:08.306Z
Q123824979,Anbernic RG35XX Plus,false,HANDHELD,,2023,,0,0,0,0,0,0,false,,,,2026-02-26T01:47:08.305Z
Q119788993,Anbernic RG405M,false,HANDHELD,,,,0,0,0,0,0,0,false,,,,2026-02-26T01:47:08.303Z
Q114568954,Anbernic RG503,false,HANDHELD,,2022,,0,0,0,0,0,0,false,,,,2026-02-26T01:46:57.262Z
Q112058782,Anbernic RG552,false,HANDHELD,,,,0,0,0,0,0,0,false,,,,2026-02-26T01:45:55.585Z
Q123532162,Anbernic RG ARC,false,HANDHELD,,,,0,0,0,0,0,0,false,,,,2026-02-26T01:46:32.210Z
Q119787485,Anbernic RG Nano,false,HANDHELD,,2023,,0,0,0,0,0,0,false,,,,2026-02-26T01:47:08.303Z
Q113471574,Anbernic WIN600,false,HANDHELD,,2022,,0,0,0,0,0,0,false,,,,2026-02-26T01:46:57.260Z
Q123532170,Anbernic Win701,false,HANDHELD,,,,0,0,0,0,0,0,false,,,,2026-02-26T01:47:08.305Z
Q121724927,AOKZOE A1 Pro,false,HANDHELD,,,,0,0,0,0,0,0,false,,,,2026-02-26T01:46:25.723Z
Q4779269,ApeXtreme,false,HOME_CONSOLE,,,,0,0,0,0,0,0,false,,,,2026-02-26T01:45:55.583Z
Q2038236,APF-M1000,false,HOME_CONSOLE,,1978,,0,0,0,0,0,0,false,,,,2026-02-26T01:45:49.399Z
Q3017175,Apple II,false,COMPUTER,,1977,231,0,0,0,0,0,0,false,,,,2026-02-26T01:47:50.116Z
Q1282269,Apple IIGS,false,COMPUTER,,,128,0,0,0,0,0,0,false,,,,2026-02-26T01:47:38.229Z
Q201652,Apple II series,false,COMPUTER,,,227,0,0,0,0,0,0,false,,,,2026-02-26T01:47:38.246Z
Q192851,arcade video game machine,false,ARCADE,,,1737,0,0,0,0,0,0,false,,,,2026-02-26T01:47:38.243Z
Q114881659,Arctic GC Pro,false,HOME_CONSOLE,,,,0,0,0,0,0,0,false,,,,2026-02-26T01:47:02.619Z
Q25389541,Arduboy,false,HANDHELD,,2016,,0,0,0,0,0,0,false,,,,2026-02-26T01:45:55.582Z
Q114562341,Asterisk,false,HANDHELD,,2022,,0,0,0,0,0,0,false,,,,2026-02-26T01:46:25.720Z
Q117409295,Asus ROG Ally,false,HANDHELD,,2023,,0,0,0,0,0,0,false,,,,2026-02-26T01:45:49.401Z
Q206261,Atari 2600,false,HOME_CONSOLE,,1977,368,0,0,0,0,0,0,false,,,,2026-02-26T01:47:50.113Z
Q122210372,Atari 2600+,false,HOME_CONSOLE,,,,0,0,0,0,0,0,false,,,,2026-02-26T01:46:01.149Z
Q753600,Atari 7800,false,HOME_CONSOLE,,1986,48,0,0,0,0,0,0,false,,,,2026-02-26T01:48:00.541Z
Q249075,Atari 8-bit family,false,COMPUTER,,1979,333,0,0,0,0,0,0,false,,,,2026-02-26T01:47:50.115Z
Q114391658,Atari Flashback,false,HOME_CONSOLE,,2004,,0,0,0,0,0,0,false,,,,2026-02-26T01:46:57.262Z
Q2713005,Atari Flashback 2,false,HOME_CONSOLE,,2005,,0,0,0,0,0,0,false,,,,2026-02-26T01:45:55.583Z
Q88846489,Atari Flashback 3,false,HOME_CONSOLE,,2011,,0,0,0,0,0,0,false,,,,2026-02-26T01:46:32.212Z
Q96749192,Atari Flashback 8,false,HOME_CONSOLE,,2017,,0,0,0,0,0,0,false,,,,2026-02-26T01:46:32.212Z
Q114797693,Atari Flashback Portable,false,HANDHELD,,2017,,0,0,0,0,0,0,false,,,,2026-02-26T01:46:57.264Z
Q114797634,Atari Flashback Portable,false,HANDHELD,,2016,,0,0,0,0,0,0,false,,,,2026-02-26T01:46:57.264Z
Q114797724,Atari Flashback Portable,false,HANDHELD,,2018,,0,0,0,0,0,0,false,,,,2026-02-26T01:46:57.264Z
Q114797632,Atari Flashback Portable,false,HANDHELD,,,,0,0,0,0,0,0,false,,,,2026-02-26T01:46:57.264Z
Q114797735,Atari Flashback Portable,false,HANDHELD,,2019,,0,0,0,0,0,0,false,,,,2026-02-26T01:46:25.721Z
Q124022106,Atari Gamestation Pro,false,HANDHELD,,,,0,0,0,0,0,0,false,,,,2026-02-26T01:47:08.306Z
Q114712277,Atari Retro Handheld,false,HANDHELD,,2017,,0,0,0,0,0,0,false,,,,2026-02-26T01:46:57.263Z
Q627302,Atari ST,false,COMPUTER,,,1075,0,0,0,0,0,0,false,,,,2026-02-26T01:47:50.125Z
Q1840662,Atari XEGS,false,HOME_CONSOLE,,1987,,0,0,0,0,0,0,false,,,,2026-02-26T01:45:49.398Z
Q114356053,AYA Neo 2021,false,HANDHELD,,2021,,0,0,0,0,0,0,false,,,,2026-02-26T01:46:57.261Z
Q114355930,AYA Neo 2021 Pro,false,HANDHELD,,2021,,0,0,0,0,0,0,false,,,,2026-02-26T01:46:25.718Z
Q123230561,AYANEO Flip,false,HANDHELD,,,,0,0,0,0,0,0,false,,,,2026-02-26T01:46:32.209Z
Q114355980,AYANEO NEXT,false,HANDHELD,,,,0,0,0,0,0,0,false,,,,2026-02-26T01:46:57.261Z
Q114355991,AYANEO NEXT Advance,false,HANDHELD,,,,0,0,0,0,0,0,false,,,,2026-02-26T01:46:57.261Z
Q114356007,AYANEO NEXT Pro,false,HANDHELD,,,,0,0,0,0,0,0,false,,,,2026-02-26T01:46:57.261Z
